name,href,price,Subcategory,SubSubCategory,request_avg_time
Roca Atlas Basin Mixer Tap Chrome (5     Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/roca-atlas-basin-mixer-tap-chrome-5-star-9507701,4,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Bloc MK2 Basin Mixer Tap Matte      Black (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-bloc-mk2-basin-mixer-tap-matte-black-4-9508081,96,Basin Tapware,Basin Mixers,1.681137204170227
Wolfen Timed Flow Basin Tap (Warm) 7     Seconds (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/wolfen-timed-flow-basin-tap-warm-7-seconds-9508242,64,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Drift MK2 Basin Mixer Tap Brushed   Nickel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-drift-mk2-basin-mixer-tap-brushed-nickel-5-9509135,43,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Silk Medium Height Basin Mixer      Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-silk-medium-height-basin-mixer-chrome-5-9510734,54,Basin Tapware,Basin Mixers,1.681137204170227
Caroma Acqua Basin Mixer Tap Chrome  (5  Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/caroma-acqua-basin-mixer-tap-chrome-5-star-112364,2,Basin Tapware,Basin Mixers,1.681137204170227
Clark Round Square Basin Mixer Tap       Black  (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/clark-round-square-basin-mixer-tap-black-5-1816081,31,Basin Tapware,Basin Mixers,1.681137204170227
American Standard Signature Basin Mixer  Chrome (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/american-standard-signature-basin-mixer-chrome-5-2217325,66,Basin Tapware,Basin Mixers,1.681137204170227
Milli Inox Basin Mixer Tap Stainless     Steel (5 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-inox-basin-mixer-tap-stainless-steel-5-2252109,44,Basin Tapware,Basin Mixers,1.681137204170227
Kado Era Basin Mixer Matte Black (5      Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/kado-era-basin-mixer-matte-black-5-star-2263701,46,Basin Tapware,Basin Mixers,1.681137204170227
Milli Glance Basin Mixer Tap Gunmetal    (6 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/milli-glance-basin-mixer-tap-gunmetal-6-star-2285945,10,Basin Tapware,Basin Mixers,1.681137204170227
Mizu Soothe Basin Mixer Tap Matte Black  (4 Star),/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/mizu-soothe-basin-mixer-tap-matte-black-4-star-9505359,99,Basin Tapware,Basin Mixers,1.681137204170227
LAUFEN TwinPlus Shower / Bath Mixer Tap  with Diverter Front of Wall Trim Set     Only Chrome,/product/tapware-accessories-c2518/basin-tapware-c743/basin-mixers-c426/laufen-twinplus-shower-bath-mixer-tap-with-9505518,86,Basin Tapware,Basin Mixers,1.681137204170227
